mgi_symbol	grouping_id	study_id	description
Atp5a1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5e	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5g3	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5h	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5j	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5j2	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5l	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atp5o	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Atpif1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ccl25	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Chchd10	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ckmt1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox4i1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox5a	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox5b	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox6b1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox6c	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox7a1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox7a2	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Cox7b	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Fabp1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Gpx2	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Gsta1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Lgals4	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Lypd8	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Minos1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ndufa1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ndufa4	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ndufa5	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ndufb68	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Ndufc1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Plac8	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Reg3b	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Reg3g	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rpl18	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rpl35a	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rpl389	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rpl41	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rplp1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps12	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps14	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps18	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps2	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps27	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps27l	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps28	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps29	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Rps8	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Sis	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Spink4	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Tm4sf5	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Tma7	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Txn1	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Uba52	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Uqcr10	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Uqcr11	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Uqcrh	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Uqcrq	bottom_enterocytes	MoorAE-30270040	Figure 2B. Spatial reconstruction of bottom villus enterocytes.
Acad9	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Ada	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Ap1g1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Apoa4	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Apoc3	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Cep57	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Cfap20	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Chchd1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Chek2	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Clca4a	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Cldn7	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Fgd4	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Gcn1l1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Glipr1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Gm10680	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Gm20594	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Ifrd1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Krt20	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Lgals3	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Lrrc41	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Mrpl48	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Myo7a	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Olfr1385	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Olfr46	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Pam	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Pkib	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Pmsmp2a27	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Rab34	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
S100a10	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
S100a6	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Serpinb1a	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Slc17a5	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Slc25a22	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Slc28a2	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Sprr2a2	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Ssbp2	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Tbk1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Tlr1	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Tmsb4x	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Ythdc2	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.
Zfp280d	top_enterocytes	MoorAE-30270040	Figure 2C. Spatial reconstruction of top villus enterocytes.